"","Control","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12"
"Dapma7bEVm001272","1.9643806","1.2581870","1.5931610","0.4769425","2.0118389","1.5148456","2.4732236","2.0159363","2.0116820","1.6897936","2.8161097","1.3434680","0.7244716"
"Dapma7bEVm001273","5.651165","4.882767","5.421270","5.418226","5.209027","4.696570","5.070580","4.993050","5.296712","5.292382","5.550029","5.309938","5.646051"
"Dapma7bEVm001274","3.814419","3.112467","3.652617","3.029853","3.300838","2.316697","2.599327","3.118417","3.247748","3.027339","2.783883","3.161601","2.817968"
"Dapma7bEVm001275","5.031671","5.361593","5.230820","5.318920","5.166041","5.566196","5.402259","5.089082","5.557839","5.306657","5.179048","4.872394","5.304336"
"Dapma7bEVm001276","7.510637","7.391073","6.419939","3.083257","5.167375","5.474887","7.525986","6.428176","6.867684","4.985187","5.280344","2.844079","2.014166"
"Dapma7bEVm001277","6.050059","4.130484","5.735758","5.587607","4.734401","5.025831","4.731810","5.512149","4.673615","5.590033","5.648662","6.630665","6.432572"
"Dapma7bEVm001278","7.355101","7.249747","7.325578","7.203077","7.122284","7.317498","7.228658","7.348489","7.325725","7.242261","7.272581","7.261944","7.204517"
"Dapma7bEVm001279","7.203786","7.355488","6.947365","6.375811","6.726094","7.059830","7.291085","6.743886","7.363129","6.880210","6.615792","5.479392","4.972473"
"Dapma7bEVm001280","8.014643","7.772119","7.222484","6.537144","8.431405","7.864073","8.185714","7.522159","7.703392","7.704783","7.888345","5.720229","4.311541"
"Dapma7bEVm001281","8.034108","7.691957","7.972621","7.604622","7.655596","7.554902","7.906787","7.608667","7.713552","7.764058","7.531108","7.468989","7.557839"
"Dapma7bEVm001282","7.313327","7.093119","7.198339","7.348022","7.037644","7.127813","7.235926","7.170462","7.033434","7.225356","7.440130","7.579696","7.509849"
"Dapma7bEVm001283","4.704507","4.084637","4.469293","4.665736","4.377192","5.075621","4.264492","4.666239","4.487350","4.370743","4.256263","4.682124","5.027888"
"Dapma7bEVm001284","7.286078","6.948276","6.938283","6.733071","7.029759","7.200164","7.104400","7.131061","7.116521","7.254277","6.853332","6.777265","6.503773"
"Dapma7bEVm001285","2.508812","1.524512","2.831203","3.161222","1.867953","2.385267","1.158935","2.824452","3.328524","2.223425","2.112525","3.645658","2.679082"
"Dapma7bEVm001286","7.311922","7.314059","6.983493","5.307592","6.624455","6.723132","6.636160","6.027391","6.869829","5.478788","5.252749","2.985103","3.253382"
"Dapma7bEVm001287","8.341232","6.386975","7.297848","7.247235","6.286835","5.932587","5.996634","6.692901","5.985939","6.486311","6.578498","7.370122","7.420218"
"Dapma7bEVm001288","8.171654","6.360033","7.521745","6.887569","6.912302","6.057833","6.375078","6.900830","6.620208","6.981388","6.273955","7.154422","7.382942"
"Dapma7bEVm001289","12.277275","12.127110","11.414842","10.998914","11.437210","11.964423","12.049951","11.461627","11.742182","11.409520","11.203092"," 9.512429"," 7.304585"
"Dapma7bEVm001290","4.844243","5.130893","5.078815","4.775203","4.901352","4.626877","5.025336","4.942218","5.028445","5.088931","5.028265","3.817588","3.908088"
"Dapma7bEVm001291","5.021618","5.071262","5.206017","5.236209","4.992820","5.012697","5.104822","5.004029","4.891364","5.090689","5.115342","5.424460","5.156385"
"Dapma7bEVm001292","8.249239","8.490501","8.780873","8.579855","8.738267","8.237338","8.390355","8.608797","8.544858","8.364616","8.331302","9.106559","9.122903"
"Dapma7bEVm001293","8.571616","8.344693","7.527533","7.008912","7.223236","8.231872","8.483391","7.661767","8.065417","7.726801","7.366414","5.198820","2.830365"
"Dapma7bEVm001295","6.913482","6.860849","6.978091","6.954582","6.889973","7.105549","6.931301","6.760232","6.955571","6.876963","6.773735","6.865245","7.116575"
"Dapma7bEVm001296","7.421601","7.419369","7.458580","7.493868","7.478821","7.422550","7.260577","7.470571","7.428796","7.394722","7.321372","7.474538","7.561218"
"Dapma7bEVm001297","4.725059","4.430095","4.862422","4.771395","4.346633","4.406360","4.792924","4.627401","4.294603","4.615968","4.626800","4.305757","4.732109"
"Dapma7bEVm001298","6.832371","6.561906","6.683697","6.782926","6.726565","6.888436","6.809713","6.718016","6.667249","6.626599","6.785853","6.432155","6.666482"
"Dapma7bEVm001299","6.134977","6.488076","6.210247","6.440061","6.368716","6.411255","6.176040","6.252244","6.281504","6.307362","6.276900","6.091035","6.015348"
"Dapma7bEVm001300","7.286857","7.640361","7.630912","7.694929","7.459675","7.648984","7.648777","7.501219","7.741178","7.608027","7.395700","7.452846","7.553277"
"Dapma7bEVm001301","8.483431","8.395841","8.489516","8.351779","8.291307","8.514796","8.513625","8.410362","8.356088","8.406661","8.408280","8.364073","8.567679"
"Dapma7bEVm001302","7.224639","7.228525","7.325373","7.222208","7.132797","7.390603","7.169611","7.147020","7.348795","7.380063","7.247507","7.382955","7.259792"
"Dapma7bEVm001303","4.981054","5.165661","4.994369","5.202970","5.279555","5.611138","5.194643","5.240855","4.852671","5.298339","5.293093","5.174704","5.024132"
"Dapma7bEVm001304","8.394815","8.259578","8.161090","8.315378","8.274116","8.207047","8.223615","8.337981","8.346306","8.187706","8.106032","8.438178","8.265538"
"Dapma7bEVm001305","8.071662","8.100464","8.048096","7.964056","8.221489","8.329638","8.057026","8.168259","8.319169","7.946815","7.940002","7.916249","8.118345"
"Dapma7bEVm001306","3.890897","3.609411","3.402701","3.133277","3.635482","3.530140","3.056729","3.707004","3.718226","3.762735","3.962374","3.234003","1.830785"
"Dapma7bEVm001307","7.708946","6.977921","6.177773","6.106202","6.549095","6.775325","7.284460","6.854056","6.596896","7.092677","6.638834","4.372404","2.649196"
"Dapma7bEVm001308","5.406598","4.330263","5.439547","4.842998","3.567396","4.451007","4.310477","4.735278","5.113073","4.440100","4.317445","5.282312","4.981940"
"Dapma7bEVm001309","10.086799","10.334377"," 9.976509","10.222067","10.454118","10.072477","10.356385","10.523480","10.344531","10.112892","10.283832"," 9.735756","10.005976"
"Dapma7bEVm001310","6.095053","5.789810","5.531232","5.074943","4.682259","5.595729","6.157969","5.064097","5.653660","5.705203","5.847082","4.139202","3.494988"
"Dapma7bEVm001312"," 9.100013"," 9.129570"," 9.501681"," 9.632841"," 9.435067"," 9.178377"," 8.979491"," 9.552663"," 9.227894"," 9.077694"," 9.351457"," 9.869286","10.084483"
"Dapma7bEVm001313","9.296068","8.658716","8.044478","7.498472","7.562696","8.932743","9.182506","7.725641","8.568604","8.347826","7.583561","5.733746","3.099435"
"Dapma7bEVm001314","7.594556","8.301358","7.761604","6.660643","7.198715","7.691368","7.085601","6.409093","7.678616","6.987567","7.240307","6.678617","6.512352"
"Dapma7bEVm001315"," 9.925618"," 9.521195"," 8.615321"," 9.867018"," 9.889516"," 9.980102","11.119962","10.399375"," 9.591018","10.138443","10.646501"," 7.810592"," 5.093054"
"Dapma7bEVm001317","6.167431","5.777729","5.561896","6.141787","5.882608","6.526821","5.964133","6.131173","6.204359","6.162558","6.364813","6.118916","5.862945"
"Dapma7bEVm001318","5.469739","5.733344","5.786927","5.705858","5.748256","5.696912","5.891878","5.850714","5.428910","5.729063","5.456410","5.411007","5.443279"
"Dapma7bEVm001319","6.532430","6.835033","7.044811","7.211550","7.114451","7.288968","7.226560","7.118050","7.018519","7.068139","7.135109","7.090170","7.217947"
